NAV,RP,SP,Date
60.2468,59.6443,61.6024,28-May-08
60.2253,59.623,61.5804,29-May-08
60.4403,59.8359,61.8002,30-May-08
59.344,58.7506,60.6792,2-Jun-08
59.0694,58.4787,60.3985,3-Jun-08
57.7911,57.2132,59.0914,4-Jun-08
58.0713,57.4906,59.3779,5-Jun-08
57.6848,57.108,58.9827,6-Jun-08
56.8791,56.3103,58.1589,9-Jun-08
56.3823,55.8185,57.6509,10-Jun-08
57.0171,56.4469,58.3,11-Jun-08
57.2508,56.6783,58.5389,12-Jun-08
57.1237,56.5525,58.409,13-Jun-08
57.7395,57.1621,59.0386,16-Jun-08
58.446,57.8615,59.761,17-Jun-08
57.9067,57.3276,59.2096,18-Jun-08
57.107,56.5359,58.3919,19-Jun-08
55.7664,55.2087,57.0211,20-Jun-08
54.5895,54.0436,55.8178,23-Jun-08
53.7238,53.1866,54.9326,24-Jun-08
53.9304,53.3911,55.1438,25-Jun-08
54.143,53.6016,55.3612,26-Jun-08
52.9136,52.3845,54.1042,27-Jun-08
52.0754,51.5546,53.2471,30-Jun-08
50.7442,50.2368,51.8859,1-Jul-08
52.2042,51.6822,53.3788,2-Jul-08
50.9546,50.4451,52.1011,3-Jul-08
51.6804,51.1636,52.8432,4-Jul-08
52.1304,51.6091,53.3033,7-Jul-08
51.9569,51.4373,53.1259,8-Jul-08
53.2895,52.7566,54.4885,9-Jul-08
53.453,52.9185,54.6557,10-Jul-08
52.5954,52.0694,53.7788,11-Jul-08
52.3508,51.8273,53.5287,14-Jul-08
50.7684,50.2607,51.9107,15-Jul-08
50.3413,49.8379,51.474,16-Jul-08
51.2636,50.751,52.417,17-Jul-08
52.1101,51.589,53.2826,18-Jul-08
52.2979,51.7749,53.4746,21-Jul-08
53.2893,52.7564,54.4883,22-Jul-08
55.2323,54.68,56.475,23-Jul-08
54.8783,54.3295,56.1131,24-Jul-08
54.148,53.6065,55.3663,25-Jul-08
54.5573,54.0117,55.7848,28-Jul-08
53.3004,52.7674,54.4997,29-Jul-08
54.1909,53.649,55.4102,30-Jul-08
54.262,53.7194,55.4829,31-Jul-08
54.83,54.2817,56.0637,1-Aug-08
54.8318,54.2835,56.0655,4-Aug-08
55.6019,55.0459,56.8529,5-Aug-08
55.8456,55.2871,57.1021,6-Aug-08
55.8319,55.2736,57.0881,7-Aug-08
55.9818,55.422,57.2414,8-Aug-08
56.8092,56.2411,58.0874,11-Aug-08
56.3199,55.7567,57.5871,12-Aug-08
56.0965,55.5355,57.3587,13-Aug-08
55.1943,54.6424,56.4362,14-Aug-08
55.0497,54.4992,56.2883,18-Aug-08
54.8928,54.3439,56.1279,19-Aug-08
55.2295,54.6772,56.4722,20-Aug-08
54.2475,53.705,55.4681,21-Aug-08
54.4517,53.9072,55.6769,22-Aug-08
54.6197,54.0735,55.8486,25-Aug-08
54.6922,54.1453,55.9228,26-Aug-08
54.32,53.7768,55.5422,27-Aug-08
53.8369,53.2985,55.0482,28-Aug-08
54.9546,54.4051,56.1911,29-Aug-08
54.7744,54.2267,56.0068,1-Sep-08
56.0086,55.4485,57.2688,2-Sep-08
55.6455,55.089,56.8975,4-Sep-08
54.9491,54.3996,56.1855,5-Sep-08
55.8472,55.2887,57.1038,8-Sep-08
55.5689,55.0132,56.8192,9-Sep-08
55.0263,54.476,56.2644,10-Sep-08
54.2549,53.7124,55.4756,11-Sep-08
53.6396,53.1032,54.8465,12-Sep-08
52.3521,51.8286,53.53,15-Sep-08
52.0463,51.5258,53.2173,16-Sep-08
51.2056,50.6935,52.3577,17-Sep-08
51.2228,50.7106,52.3753,18-Sep-08
52.5492,52.0237,53.7316,19-Sep-08
52.6072,52.0811,53.7909,22-Sep-08
51.7984,51.2804,52.9639,23-Sep-08
52.0894,51.5685,53.2614,24-Sep-08
51.8374,51.319,53.0037,25-Sep-08
50.8641,50.3555,52.0085,26-Sep-08
49.4016,48.9076,50.5131,29-Sep-08
49.9939,49.494,51.1188,30-Sep-08
50.5192,50.014,51.6559,1-Oct-08
49.4544,48.9599,50.5671,3-Oct-08
47.2353,46.7629,48.2981,6-Oct-08
46.7094,46.2423,47.7604,7-Oct-08
45.3485,44.895,46.3688,8-Oct-08
43.2273,42.795,44.1999,10-Oct-08
44.7415,44.2941,45.7482,13-Oct-08
45.1421,44.6907,46.1578,14-Oct-08
43.6818,43.245,44.6646,15-Oct-08
43.4335,42.9992,44.4108,16-Oct-08
42.0314,41.6111,42.9771,17-Oct-08
42.5692,42.1435,43.527,20-Oct-08
43.5511,43.1156,44.531,21-Oct-08
42.2889,41.866,43.2404,22-Oct-08
41.5883,41.1724,42.524,23-Oct-08
39.028,38.6377,39.9061,24-Oct-08
38.188,37.8061,39.0472,27-Oct-08
39.3546,38.9611,40.2401,29-Oct-08
40.9246,40.5154,41.8454,31-Oct-08
42.5371,42.1117,43.4942,3-Nov-08
43.5617,43.1261,44.5418,4-Nov-08
42.6144,42.1883,43.5732,5-Nov-08
41.8333,41.415,42.7745,6-Nov-08
42.4805,42.0557,43.4363,7-Nov-08
43.6562,43.2196,44.6385,10-Nov-08
41.8987,41.4797,42.8414,11-Nov-08
41.0719,40.6612,41.996,12-Nov-08
40.6391,40.2327,41.5535,14-Nov-08
40.0504,39.6499,40.9515,17-Nov-08
39.2995,38.9065,40.1837,18-Nov-08
38.9177,38.5285,39.7933,19-Nov-08
38.2338,37.8515,39.0941,20-Nov-08
39.1468,38.7553,40.0276,21-Nov-08
39.1309,38.7396,40.0113,24-Nov-08
38.8329,38.4446,39.7066,25-Nov-08
39.5601,39.1645,40.4502,26-Nov-08
39.6265,39.2302,40.5181,28-Nov-08
39.0912,38.7003,39.9708,1-Dec-08
38.9073,38.5182,39.7827,2-Dec-08
39.3286,38.9353,40.2135,3-Dec-08
40.517,40.1118,41.4286,4-Dec-08
39.9361,39.5367,40.8347,5-Dec-08
40.318,39.9148,41.2252,8-Dec-08
41.124,40.7128,42.0493,10-Dec-08
41.1312,40.7199,42.0567,11-Dec-08
41.4211,41.0069,42.3531,12-Dec-08
42.0149,41.5948,42.9602,15-Dec-08
42.6703,42.2436,43.6304,16-Dec-08
41.9099,41.4908,42.8529,17-Dec-08
42.8813,42.4525,43.8461,18-Dec-08
43.0713,42.6406,44.0404,19-Dec-08
42.7502,42.3227,43.7121,22-Dec-08
42.0497,41.6292,42.9958,23-Dec-08
42.0531,41.6326,42.9993,24-Dec-08
41.5789,41.1631,42.5144,26-Dec-08
42.0679,41.6472,43.0144,29-Dec-08
42.5607,42.1351,43.5183,30-Dec-08
42.6092,42.1831,43.5679,31-Dec-08
43.2809,42.8481,44.2547,1-Jan-09
43.7649,43.3273,44.7496,2-Jan-09
44.2567,43.8141,45.2525,5-Jan-09
44.2992,43.8562,45.2959,6-Jan-09
42.2093,41.7872,43.159,7-Jan-09
41.6853,41.2684,42.6232,9-Jan-09
41.0616,40.651,41.9855,12-Jan-09
40.8409,40.4325,41.7598,13-Jan-09
41.3688,40.9551,42.2996,14-Jan-09
40.6888,40.2819,41.6043,15-Jan-09
41.0337,40.6234,41.957,16-Jan-09
41.1569,40.7453,42.0829,19-Jan-09
40.8413,40.4329,41.7602,20-Jan-09
40.2173,39.8151,41.1222,21-Jan-09
40.0744,39.6737,40.9761,22-Jan-09
39.7142,39.3171,40.6078,23-Jan-09
40.1418,39.7404,41.045,27-Jan-09
40.7576,40.35,41.6746,28-Jan-09
40.6509,40.2444,41.5655,29-Jan-09
41.1135,40.7024,42.0386,30-Jan-09
40.4928,40.0879,41.4039,2-Feb-09
40.6041,40.1981,41.5177,3-Feb-09
40.6579,40.2513,41.5727,4-Feb-09
40.5282,40.1229,41.4401,5-Feb-09
41.0479,40.6374,41.9715,6-Feb-09
41.7306,41.3133,42.6695,9-Feb-09
41.9101,41.491,42.8531,10-Feb-09
41.926,41.5067,42.8693,11-Feb-09
41.6435,41.2271,42.5805,12-Feb-09
42.0822,41.6614,43.029,13-Feb-09
41.2941,40.8812,42.2232,16-Feb-09
40.6357,40.2293,41.55,17-Feb-09
40.6482,40.2417,41.5628,18-Feb-09
40.6638,40.2572,41.5787,19-Feb-09
40.3102,39.9071,41.2172,20-Feb-09
40.2069,39.8048,41.1116,24-Feb-09
40.4021,39.9981,41.3111,25-Feb-09
40.6881,40.2812,41.6036,26-Feb-09
40.7193,40.3121,41.6355,27-Feb-09
40.0544,39.6539,40.9556,2-Mar-09
39.6241,39.2279,40.5156,3-Mar-09
39.7079,39.3108,40.6013,4-Mar-09
39.1442,38.7528,40.0249,5-Mar-09
39.2794,38.8866,40.1632,6-Mar-09
38.848,38.4595,39.7221,9-Mar-09
39.1237,38.7325,40.004,12-Mar-09
39.8942,39.4953,40.7918,13-Mar-09
40.6539,40.2474,41.5686,16-Mar-09
40.5818,40.176,41.4949,17-Mar-09
40.7887,40.3808,41.7064,18-Mar-09
40.7092,40.3021,41.6252,19-Mar-09
40.6595,40.2529,41.5743,20-Mar-09
41.6154,41.1992,42.5517,23-Mar-09
41.7093,41.2922,42.6478,24-Mar-09
42.0584,41.6378,43.0047,25-Mar-09
42.8204,42.3922,43.7839,26-Mar-09
42.9434,42.514,43.9096,27-Mar-09
42.0699,41.6492,43.0165,30-Mar-09
42.7731,42.3454,43.7355,31-Mar-09
43.1243,42.6931,44.0946,1-Apr-09
44.0426,43.6022,45.0336,2-Apr-09
44.3254,43.8821,45.3227,6-Apr-09
44.8285,44.3802,45.8371,8-Apr-09
45.0838,44.633,46.0982,9-Apr-09
45.7311,45.2738,46.76,13-Apr-09
46.7091,46.242,47.7601,15-Apr-09
45.5401,45.0847,46.5648,16-Apr-09
45.885,45.4262,46.9174,17-Apr-09
46.1778,45.716,47.2168,20-Apr-09
45.9366,45.4772,46.9702,21-Apr-09
45.7453,45.2878,46.7746,22-Apr-09
46.3154,45.8522,47.3575,23-Apr-09
47.0039,46.5339,48.0615,24-Apr-09
46.7077,46.2406,47.7586,27-Apr-09
45.7289,45.2716,46.7578,28-Apr-09
46.5308,46.0655,47.5777,29-Apr-09
47.9815,47.5017,49.0611,4-May-09
48.459,47.9744,49.5493,5-May-09
48.1409,47.6595,49.2241,6-May-09
48.796,48.308,49.8939,7-May-09
48.3187,47.8355,49.4059,8-May-09
47.6321,47.1558,48.7038,11-May-09
48.6463,48.1598,49.7408,12-May-09
48.2959,47.8129,49.3826,13-May-09
48.2249,47.7427,49.31,14-May-09
48.9543,48.4648,50.0558,15-May-09
54.922,54.3728,56.1577,19-May-09
56.0365,55.4761,57.2973,20-May-09
55.2104,54.6583,56.4526,21-May-09
55.8582,55.2996,57.115,22-May-09
56.5443,55.9789,57.8165,25-May-09
55.2342,54.6819,56.477,26-May-09
56.9626,56.393,58.2443,27-May-09
57.2848,56.712,58.5737,28-May-09
58.2898,57.7069,59.6013,29-May-09
59.1096,58.5185,60.4396,1-Jun-09
59.1665,58.5748,60.4977,2-Jun-09
59.8049,59.2069,61.1505,3-Jun-09
60.269,59.6663,61.6251,4-Jun-09
60.2471,59.6446,61.6027,5-Jun-09
58.3199,57.7367,59.6321,8-Jun-09
59.9399,59.3405,61.2885,9-Jun-09
60.9672,60.3575,62.339,10-Jun-09
60.8008,60.1928,62.1688,11-Jun-09
60.0607,59.4601,61.4121,12-Jun-09
59.1296,58.5383,60.46,15-Jun-09
59.8093,59.2112,61.155,16-Jun-09
58.2155,57.6333,59.5253,17-Jun-09
57.1969,56.6249,58.4838,18-Jun-09
58.0393,57.4589,59.3452,19-Jun-09
57.5298,56.9545,58.8242,22-Jun-09
57.6952,57.1182,58.9933,23-Jun-09
58.7362,58.1488,60.0578,24-Jun-09
58.7582,58.1706,60.0803,25-Jun-09
59.8163,59.2181,61.1622,26-Jun-09
60.083,59.4822,61.4349,29-Jun-09
58.9334,58.3441,60.2594,30-Jun-09
59.3832,58.7894,60.7193,1-Jul-09
59.3627,58.7691,60.6984,2-Jul-09
60.0231,59.4229,61.3736,3-Jul-09
57.4621,56.8875,58.755,6-Jul-09
58.1911,57.6092,59.5004,7-Jul-09
56.9604,56.3908,58.242,8-Jul-09
57.0467,56.4762,58.3303,9-Jul-09
56.0876,55.5267,57.3496,10-Jul-09
