NAV,RP,SP,Date,
114.9295,113.7802,117.5154,6-Apr-09,
116.7817,115.6139,119.4093,8-Apr-09,
117.4455,116.271,120.088,9-Apr-09,
119.6324,118.4361,122.3241,13-Apr-09,
122.798,121.57,125.561,15-Apr-09,
119.8379,118.6395,122.5343,16-Apr-09,
121.0235,119.8133,123.7465,17-Apr-09,
122.1895,120.9676,124.9388,20-Apr-09,
123.1643,121.9327,125.9355,21-Apr-09,
121.4503,120.2358,124.1829,22-Apr-09,
123.0464,121.8159,125.8149,23-Apr-09,
124.5242,123.279,127.326,24-Apr-09,
123.876,122.6372,126.6632,27-Apr-09,
120.7596,119.552,123.4767,28-Apr-09,
123.7298,122.4925,126.5137,29-Apr-09,
128.2663,126.9836,131.1523,4-May-09,
128.7151,127.4279,131.6112,5-May-09,
127.0628,125.7922,129.9217,6-May-09,
128.9867,127.6968,131.8889,7-May-09,
128.2774,126.9946,131.1636,8-May-09,
126.8779,125.6091,129.7327,11-May-09,
130.2556,128.953,133.1864,12-May-09,
129.7523,128.4548,132.6717,13-May-09,
129.3856,128.0917,132.2968,14-May-09,
131.6719,130.3552,134.6345,15-May-09,
151.3443,149.8309,154.7495,19-May-09,
153.5875,152.0516,157.0432,20-May-09,
152.2168,150.6946,155.6417,21-May-09,
153.5822,152.0464,157.0378,22-May-09,
154.9067,153.3576,158.3921,25-May-09,
149.8971,148.3981,153.2698,26-May-09,
155.4919,153.937,158.9905,27-May-09,
156.1948,154.6329,159.7092,28-May-09,
159.915,158.3159,163.5131,29-May-09,
160.9681,159.3584,164.5899,1-Jun-09,
160.533,158.9277,164.145,2-Jun-09,
162.6472,161.0207,166.3068,3-Jun-09,
163.7066,162.0695,167.39,4-Jun-09,
164.5621,162.9165,168.2647,5-Jun-09,
158.1114,156.5303,161.6689,8-Jun-09,
162.3022,160.6792,165.954,9-Jun-09,
164.8648,163.2162,168.5743,10-Jun-09,
163.2341,161.6018,166.9069,11-Jun-09,
160.1931,158.5912,163.7974,12-Jun-09,
157.1548,155.5833,160.6908,15-Jun-09,
159.4593,157.8647,163.0471,16-Jun-09,
154.2584,152.7158,157.7292,17-Jun-09,
151.0131,149.503,154.4109,18-Jun-09,
